
Time;BTC;DOGE;ETH;LTC;REP
2017-05-03 23:17;19,70;;78,88;20,81;
2017-05-04 20:18;21,21;;90,45;24,91;
2017-05-05 19:11;20,1;11,58;91,73;24,06;
2017-05-06 18:56;20,28;12,37;92,78;25,91;
2017-05-09 0:50;21,77;20,34;89,27;28,45;
2017-05-09 2:15;21,99;20,58;88,62;28,49;34,70
2017-05-09 23:59;22,46;17,51;87,45;30,14;32,45
2017-05-11 0:57;23,15;18,83;86,94;32,18;34,36
2017-05-11 22:17;24,17;17,48;87,87;29,62;34,36
2017-05-12 1:55;24,13;17,99;88,05;30,02;36,08
2017-05-13 1:57;22,41;17,48;85,25;27,00;33,72
2017-05-14 15:32;23,67;17,04;89,19;28,90;34,24
2017-05-14 23:34;23,47;17,51;88,60;28,01;33,72
2017-05-15 22:12;22,34;16,16;90,20;24,43;32,58
2017-05-16 20:25;23,12;15,68;88,54;24,19;31,36
2017-05-17 22:01;24,00;19,26;86,28;24,50;30,62
2017-05-18 23:45;24,84;21,05;94,93;27,93;32,62
2017-05-19 22:01;25,59;21,98;118,55;27,03;33,62
